singer,song,low,high,super_high
Mr.Children,名もなき詩,2mid1C,3hiA#,
Mr.Children,NOT FOUND,2mid1C#,3hiA,2hiC#
Mr.Children,fanfare,2mid1C#,3hiA#,
Mr.Children,and I love you,2mid2A,3hiB,3hiD
Mr.Children,花-Memento-Mori-,2mid1D,3hiA,
Mr.Children,光の射す方へ,2mid1E,3hiB,
Mr.Children,Your Song,2mid1A#,2mid2F,
Mr.Children,フェイク,2mid1F,3hiB,
Mr.Children,花の匂い,2mid1D,2mid2G,
Mr.Children,もっと,2mid1E,3hiA,3hiC#
Mr.Children,箒星,2mid1A,3hiA,3hiB
Mr.Children,君と重ねたモノローグ,2mid1C,2mid2G,
Mr.Children,マシンガンをぶっ放せ,2mid1A,2mid2G,
Mr.Children,Everything（It's you）,2mid1D,2mid2G,
Mr.Children,youthful days,2mid1B,2mid2G#,3hiB
Mr.Children,Forever,2mid1C,2mid2F,
Mr.Children,手紙,2mid1D,2mid2G,
Mr.Children,Heavenly kiss,2mid1A,2mid2F#,
Mr.Children,タガタメ,2mid1C,3hiB,
Mr.Children,CANDY,2mid1D,3hiA,3hiB
Mr.Children,星になれたら,2mid1E,3hiA,
Mr.Children,海にて、心は裸になりたがる,2mid1C,3hiA,
Mr.Children,HERO,2mid1A,3hiA,3hiA
Mr.Children,ニシエヒガシエ,2mid1F,2mid2G,
Mr.Children,Worlds end,2mid1C,2mid2G,
Mr.Children,#2601,2mid1C#,3hiA#,
Mr.Children,箱庭,2mid1D,3hiA,
Mr.Children,タイムマシーンに乗って,2mid1C#,2mid2F#,
Mr.Children,靴ひも,2mid1E,3hiA#,
Mr.Children,Another Story,2mid1F,2mid2G,3hiA#
Mr.Children,いつでも微笑みを,2mid1D,3hiA,
Mr.Children,常套句,2mid1D#,3hiA,
Mr.Children,here comes my love,2mid1C#,2mid2G#,3hiC#
Mr.Children,Simple,2mid1B,3hiA,
Mr.Children,Prism,2mid1D,3hiA,
Mr.Children,ALIVE,2mid1E,3hiA,
Mr.Children,1999年、夏、沖縄,2mid1A,2mid2E,
Mr.Children,Starting Over,2mid1A#,3hiC,3hiC
Mr.Children,妄想満月,2mid1B,2mid2E,
Mr.Children,Prelude,2mid1A,3hiB,
Mr.Children,口笛,1lowG,3hiA,
Mr.Children,Over,2mid1D,2mid2G#,3hiA#
Mr.Children,潜水,2mid1A,2mid2F,
米津玄師,Lemon,2mid1B,3hiB,3hiB
米津玄師,感電,2mid1B,2mid2G#,3hiC#
米津玄師,灰色と青(+菅田将暉),2mid1B,3hiA,
米津玄師,KICK BACK,2mid1E,3hiA#,
米津玄師,LADY,2mid1D,3hiA,3hiB
米津玄師,まちがいさがし,1lowG,3hiA,
米津玄師,ピースサイン,2mid1D#,2mid2G#,
米津玄師,飛燕,2mid1D,3hiA,
米津玄師,春雷,2mid1C,2mid2G#,
米津玄師,PLACEBO + 野田洋次郎,2mid1C#,2mid2G#,
米津玄師,POP SONG,2mid1D,2mid2G,3hiA
米津玄師,Pale Blue,2mid1D,3hiA,3hiC#
米津玄師,メトロノーム,2mid1D,2mid2G,3hiC
米津玄師,ポッピンアパシー,2mid1D#,2mid2F#,2mid2G#
米津玄師,サンタマリア,2mid1B,2mid2F#,3hiC#
米津玄師,アイネクライネ,2mid1C#,2mid2G#,2mid2G#
